,total_RE,white,black,aindian,asian,pacisland,other,latinx,total_poverty,under_poverty,income,county,state,tract,GEOID10,acs_year
128,2962.0,2767.0,53.0,0.0,15.0,0.0,37.0,90.0,2925.0,134.0,96875.0,011,53,040905,53011040905,2015
129,5108.0,4433.0,156.0,15.0,171.0,0.0,226.0,107.0,5098.0,241.0,110536.0,011,53,040907,53011040907,2015
130,6598.0,5627.0,53.0,0.0,227.0,0.0,122.0,569.0,6598.0,316.0,80637.0,011,53,040908,53011040908,2015
131,5211.0,4488.0,14.0,0.0,150.0,0.0,132.0,427.0,5114.0,212.0,65000.0,011,53,040909,53011040909,2015
132,4468.0,4032.0,0.0,9.0,208.0,0.0,183.0,36.0,4453.0,347.0,88346.0,011,53,040910,53011040910,2015
133,3963.0,3491.0,27.0,59.0,103.0,0.0,141.0,142.0,3875.0,410.0,64076.0,011,53,041003,53011041003,2015
134,2410.0,1461.0,102.0,15.0,17.0,18.0,174.0,623.0,2391.0,763.0,31895.0,011,53,041005,53011041005,2015
135,3218.0,2664.0,87.0,23.0,19.0,0.0,76.0,336.0,3218.0,585.0,51563.0,011,53,041007,53011041007,2015
136,4025.0,3382.0,21.0,10.0,183.0,6.0,161.0,262.0,4025.0,186.0,71600.0,011,53,041008,53011041008,2015
137,3698.0,3048.0,80.0,19.0,74.0,0.0,106.0,371.0,3698.0,431.0,40918.0,011,53,041009,53011041009,2015
138,3988.0,3104.0,163.0,0.0,55.0,0.0,133.0,533.0,3987.0,725.0,42015.0,011,53,041010,53011041010,2015
139,3038.0,2667.0,33.0,0.0,189.0,23.0,10.0,105.0,3024.0,147.0,60163.0,011,53,041011,53011041011,2015
140,4490.0,3568.0,149.0,73.0,89.0,24.0,312.0,275.0,4441.0,1180.0,52188.0,011,53,041104,53011041104,2015
141,5253.0,4183.0,252.0,27.0,156.0,67.0,252.0,316.0,5208.0,419.0,64529.0,011,53,041105,53011041105,2015
142,2580.0,2112.0,1.0,0.0,214.0,0.0,95.0,158.0,2580.0,69.0,67989.0,011,53,041107,53011041107,2015
143,6299.0,5161.0,88.0,0.0,208.0,407.0,85.0,350.0,6283.0,585.0,41225.0,011,53,041108,53011041108,2015
144,6167.0,4875.0,145.0,79.0,375.0,0.0,237.0,456.0,6079.0,676.0,51330.0,011,53,041110,53011041110,2015
145,3473.0,2006.0,139.0,82.0,73.0,119.0,275.0,779.0,3447.0,810.0,32733.0,011,53,041111,53011041111,2015
146,6010.0,4485.0,238.0,0.0,243.0,103.0,185.0,728.0,5933.0,1048.0,40155.0,011,53,041112,53011041112,2015
147,6405.0,4595.0,334.0,67.0,315.0,0.0,444.0,650.0,6365.0,842.0,48006.0,011,53,041201,53011041201,2015
148,5094.0,3706.0,474.0,42.0,306.0,0.0,347.0,219.0,5086.0,613.0,52941.0,011,53,041203,53011041203,2015
149,4697.0,3457.0,5.0,35.0,219.0,0.0,33.0,577.0,4494.0,545.0,45406.0,011,53,041205,53011041205,2015
150,4722.0,3643.0,153.0,44.0,294.0,0.0,250.0,338.0,4704.0,227.0,66796.0,011,53,041206,53011041206,2015
151,5324.0,3734.0,0.0,0.0,230.0,71.0,305.0,984.0,5258.0,759.0,61389.0,011,53,041309,53011041309,2015
152,4772.0,3967.0,139.0,0.0,242.0,0.0,165.0,259.0,4772.0,460.0,60375.0,011,53,041310,53011041310,2015
153,4338.0,3011.0,169.0,20.0,258.0,131.0,185.0,537.0,4325.0,794.0,45291.0,011,53,041312,53011041312,2015
154,2517.0,1674.0,86.0,84.0,64.0,41.0,45.0,523.0,2493.0,493.0,39780.0,011,53,041313,53011041313,2015
155,3980.0,2787.0,316.0,76.0,103.0,9.0,259.0,430.0,3980.0,472.0,53449.0,011,53,041317,53011041317,2015
156,5109.0,3882.0,84.0,28.0,275.0,256.0,75.0,494.0,5109.0,758.0,53984.0,011,53,041318,53011041318,2015
157,5369.0,4090.0,68.0,11.0,394.0,0.0,263.0,543.0,5369.0,824.0,59798.0,011,53,041319,53011041319,2015
158,6830.0,4819.0,278.0,20.0,450.0,379.0,515.0,369.0,6830.0,740.0,54503.0,011,53,041320,53011041320,2015
159,2954.0,2310.0,9.0,6.0,235.0,0.0,156.0,238.0,2949.0,186.0,67466.0,011,53,041321,53011041321,2015
160,4754.0,3008.0,138.0,15.0,136.0,285.0,194.0,978.0,4754.0,733.0,46225.0,011,53,041322,53011041322,2015
161,5353.0,3921.0,175.0,107.0,230.0,0.0,194.0,726.0,5255.0,795.0,41715.0,011,53,041323,53011041323,2015
162,5143.0,3663.0,80.0,0.0,901.0,13.0,193.0,276.0,5096.0,204.0,92530.0,011,53,041325,53011041325,2015
163,2569.0,1746.0,128.0,10.0,190.0,0.0,83.0,412.0,2563.0,398.0,65481.0,011,53,041326,53011041326,2015
164,8624.0,6000.0,265.0,45.0,983.0,39.0,734.0,558.0,8600.0,1326.0,82891.0,011,53,041327,53011041327,2015
165,6233.0,4650.0,44.0,15.0,706.0,9.0,420.0,358.0,6233.0,378.0,65657.0,011,53,041328,53011041328,2015
166,4346.0,3143.0,45.0,0.0,394.0,47.0,236.0,475.0,4346.0,145.0,78155.0,011,53,041329,53011041329,2015
167,4313.0,3178.0,47.0,26.0,214.0,21.0,349.0,478.0,4276.0,273.0,61250.0,011,53,041330,53011041330,2015
168,2927.0,1794.0,0.0,24.0,213.0,26.0,138.0,732.0,2893.0,338.0,54583.0,011,53,041331,53011041331,2015
169,3842.0,2565.0,0.0,5.0,294.0,70.0,99.0,809.0,3842.0,652.0,60682.0,011,53,041332,53011041332,2015
170,3097.0,2512.0,132.0,4.0,103.0,63.0,142.0,141.0,3097.0,262.0,58910.0,011,53,041333,53011041333,2015
171,5257.0,4668.0,8.0,114.0,198.0,8.0,79.0,182.0,5257.0,190.0,60766.0,011,53,041400,53011041400,2015
172,2875.0,2533.0,0.0,10.0,45.0,0.0,62.0,225.0,2808.0,418.0,59013.0,011,53,041500,53011041500,2015
